sku,name,price,stock,description,is_active,brand,color,image_url
perfect-smartphone-version-1,"Perfect Smartphone Version",247.00,84,"High-quality smartphone with excellent features and performance",1,ElectroPlus,Black,placeholder.jpg
pro-tablet-version-2,"Pro Tablet Version",144.00,40,"High-quality tablet with excellent features and performance",1,TechPro,Black,placeholder.jpg
expert-laptop-performance-3,"Expert Laptop Performance",55.00,31,"High-quality laptop with excellent features and performance",1,TechPro,Black,placeholder.jpg
supreme-desktop-computer-performance-4,"Supreme Desktop Computer Performance",168.00,90,"High-quality desktop computer with excellent features and performance",1,GadgetWorld,Black,placeholder.jpg
master-monitor-max-5,"Master Monitor Max",267.09,71,"High-quality monitor with excellent features and performance",1,TechPro,Black,placeholder.jpg
essential-keyboard-edition-6,"Essential Keyboard Edition",107.97,76,"High-quality keyboard with excellent features and performance",1,ElectroPlus,Black,placeholder.jpg
essential-mouse-plus-7,"Essential Mouse Plus",39.02,6,"High-quality mouse with excellent features and performance",1,TechPro,Black,placeholder.jpg
classic-headphones-collection-8,"Classic Headphones Collection",88.06,55,"High-quality headphones with excellent features and performance",1,ElectroPlus,Black,placeholder.jpg
premium-earbuds-version-9,"Premium Earbuds Version",30.11,95,"High-quality earbuds with excellent features and performance",1,TechPro,Black,placeholder.jpg
supreme-speaker-model-10,"Supreme Speaker Model",144.71,7,"High-quality speaker with excellent features and performance",1,TechPro,Black,placeholder.jpg
essential-smartwatch-plus-11,"Essential Smartwatch Plus",234.33,56,"High-quality smartwatch with excellent features and performance",1,GadgetWorld,Black,placeholder.jpg
deluxe-fitness-tracker-edition-12,"Deluxe Fitness Tracker Edition",150.94,84,"High-quality fitness tracker with excellent features and performance",1,GadgetWorld,Black,placeholder.jpg
advanced-camera-grade-13,"Advanced Camera Grade",257.39,85,"High-quality camera with excellent features and performance",1,GadgetWorld,Black,placeholder.jpg
perfect-webcam-model-14,"Perfect Webcam Model",56.87,38,"High-quality webcam with excellent features and performance",1,TechPro,Black,placeholder.jpg
classic-microphone-series-15,"Classic Microphone Series",121.32,24,"High-quality microphone with excellent features and performance",1,ElectroPlus,Black,placeholder.jpg
ultra-router-plus-16,"Ultra Router Plus",78.41,31,"High-quality router with excellent features and performance",1,GadgetWorld,Black,placeholder.jpg
luxury-power-bank-model-17,"Luxury Power Bank Model",43.19,50,"High-quality power bank with excellent features and performance",1,ElectroPlus,Black,placeholder.jpg
advanced-charger-version-18,"Advanced Charger Version",39.93,69,"High-quality charger with excellent features and performance",1,TechPro,Black,placeholder.jpg
deluxe-usb-cable-model-19,"Deluxe USB Cable Model",11.71,72,"High-quality usb cable with excellent features and performance",1,TechPro,Black,placeholder.jpg
