sku,name,price,stock,description,is_active,brand,color,image_url
NEX-001,"NexusGear White Item 1",304.99,84,"This is a premium product from NexusGear. It features high-quality materials and a sleek design.",1,NexusGear,Gold,placeholder.jpg
NEX-002,"NexusGear Black Item 2",161.84,37,"This is a premium product from NexusGear. It features high-quality materials and a sleek design.",1,NexusGear,Silver,placeholder.jpg
NEX-003,"NexusGear Silver Item 3",153.99,6,"This is a premium product from NexusGear. It features high-quality materials and a sleek design.",1,NexusGear,Black,placeholder.jpg
NEX-004,"NexusGear Black Item 4",400,94,"This is a premium product from NexusGear. It features high-quality materials and a sleek design.",1,NexusGear,Gold,placeholder.jpg
NEX-005,"NexusGear Blue Item 5",22.11,46,"This is a premium product from NexusGear. It features high-quality materials and a sleek design.",1,NexusGear,White,placeholder.jpg
NEX-006,"NexusGear Blue Item 6",222.64,33,"This is a premium product from NexusGear. It features high-quality materials and a sleek design.",1,NexusGear,Red,placeholder.jpg
NEX-007,"NexusGear Silver Item 7",167.12,44,"This is a premium product from NexusGear. It features high-quality materials and a sleek design.",1,NexusGear,Green,placeholder.jpg
NEX-008,"NexusGear Silver Item 8",157.52,94,"This is a premium product from NexusGear. It features high-quality materials and a sleek design.",1,NexusGear,Blue,placeholder.jpg
NEX-009,"NexusGear Gold Item 9",212.31,9,"This is a premium product from NexusGear. It features high-quality materials and a sleek design.",1,NexusGear,Green,placeholder.jpg
NEX-010,"NexusGear Green Item 10",352.57,9,"This is a premium product from NexusGear. It features high-quality materials and a sleek design.",1,NexusGear,White,placeholder.jpg
NEX-011,"NexusGear Red Item 11",443.17,66,"This is a premium product from NexusGear. It features high-quality materials and a sleek design.",1,NexusGear,Black,placeholder.jpg
NEX-012,"NexusGear Silver Item 12",361.2,76,"This is a premium product from NexusGear. It features high-quality materials and a sleek design.",1,NexusGear,Blue,placeholder.jpg
NEX-013,"NexusGear Green Item 13",77.37,75,"This is a premium product from NexusGear. It features high-quality materials and a sleek design.",1,NexusGear,Gold,placeholder.jpg
NEX-014,"NexusGear Green Item 14",80.11,68,"This is a premium product from NexusGear. It features high-quality materials and a sleek design.",1,NexusGear,Gold,placeholder.jpg
NEX-015,"NexusGear Green Item 15",156.3,72,"This is a premium product from NexusGear. It features high-quality materials and a sleek design.",1,NexusGear,White,placeholder.jpg
NEX-016,"NexusGear Black Item 16",235.72,100,"This is a premium product from NexusGear. It features high-quality materials and a sleek design.",1,NexusGear,Red,placeholder.jpg
NEX-017,"NexusGear Black Item 17",281.11,75,"This is a premium product from NexusGear. It features high-quality materials and a sleek design.",1,NexusGear,Silver,placeholder.jpg
NEX-018,"NexusGear Silver Item 18",143.5,12,"This is a premium product from NexusGear. It features high-quality materials and a sleek design.",1,NexusGear,Silver,placeholder.jpg
NEX-019,"NexusGear Black Item 19",61.03,4,"This is a premium product from NexusGear. It features high-quality materials and a sleek design.",1,NexusGear,White,placeholder.jpg
NEX-020,"NexusGear Blue Item 20",341.83,65,"This is a premium product from NexusGear. It features high-quality materials and a sleek design.",1,NexusGear,White,placeholder.jpg
NEX-021,"NexusGear Green Item 21",99.73,86,"This is a premium product from NexusGear. It features high-quality materials and a sleek design.",1,NexusGear,Red,placeholder.jpg
NEX-022,"NexusGear White Item 22",175.02,70,"This is a premium product from NexusGear. It features high-quality materials and a sleek design.",1,NexusGear,Gold,placeholder.jpg
NEX-023,"NexusGear Red Item 23",467.03,65,"This is a premium product from NexusGear. It features high-quality materials and a sleek design.",1,NexusGear,Black,placeholder.jpg
NEX-024,"NexusGear Red Item 24",174.68,34,"This is a premium product from NexusGear. It features high-quality materials and a sleek design.",1,NexusGear,White,placeholder.jpg
NEX-025,"NexusGear Black Item 25",71.66,35,"This is a premium product from NexusGear. It features high-quality materials and a sleek design.",1,NexusGear,Silver,placeholder.jpg
NEX-026,"NexusGear Green Item 26",16.19,16,"This is a premium product from NexusGear. It features high-quality materials and a sleek design.",1,NexusGear,Green,placeholder.jpg
NEX-027,"NexusGear Silver Item 27",284.97,34,"This is a premium product from NexusGear. It features high-quality materials and a sleek design.",1,NexusGear,Silver,placeholder.jpg
NEX-028,"NexusGear White Item 28",292.23,65,"This is a premium product from NexusGear. It features high-quality materials and a sleek design.",1,NexusGear,Blue,placeholder.jpg
NEX-029,"NexusGear Silver Item 29",174.48,9,"This is a premium product from NexusGear. It features high-quality materials and a sleek design.",1,NexusGear,Red,placeholder.jpg
NEX-030,"NexusGear Black Item 30",362.21,49,"This is a premium product from NexusGear. It features high-quality materials and a sleek design.",1,NexusGear,Blue,placeholder.jpg
NEX-031,"NexusGear Gold Item 31",334.53,76,"This is a premium product from NexusGear. It features high-quality materials and a sleek design.",1,NexusGear,White,placeholder.jpg
NEX-032,"NexusGear Black Item 32",457.36,93,"This is a premium product from NexusGear. It features high-quality materials and a sleek design.",1,NexusGear,Gold,placeholder.jpg
NEX-033,"NexusGear Black Item 33",392.13,66,"This is a premium product from NexusGear. It features high-quality materials and a sleek design.",1,NexusGear,Blue,placeholder.jpg
NEX-034,"NexusGear Green Item 34",288.56,58,"This is a premium product from NexusGear. It features high-quality materials and a sleek design.",1,NexusGear,White,placeholder.jpg
NEX-035,"NexusGear White Item 35",454.98,11,"This is a premium product from NexusGear. It features high-quality materials and a sleek design.",1,NexusGear,Black,placeholder.jpg
NEX-036,"NexusGear Blue Item 36",345.18,84,"This is a premium product from NexusGear. It features high-quality materials and a sleek design.",1,NexusGear,Silver,placeholder.jpg
